country_id_alp3,year,value
and,2002,1755910032
and,2003,2361726862
and,2004,2894921778
and,2005,3159905484
and,2006,3456442103
and,2007,3952600602
and,2008,4085630584
and,2009,3674409558
and,2010,3449966857
and,2011,3629203786
and,2012,3188808943
and,2013,3193704343
and,2014,3271808157
and,2015,2789870188
and,2016,2896679212
and,2017,3000180750
and,2018,3218316013
and,2019,3155065488
are,1975,14720672507
are,1976,19213022691
are,1977,24871775165
are,1978,23775831783
are,1979,31225463218
are,1980,43598748449
are,1981,49333424135
are,1982,46622718605
are,1983,42803323345
are,1984,41807954236
are,1985,40603650232
are,1986,33943612095
are,1987,36384908744
are,1988,36275674203
are,1989,41464995914
are,1990,50701443748
are,1991,51552165622
are,1992,54239171888
are,1993,55625170253
are,1994,59305093980
are,1995,65743666576
are,1996,73571233996
are,1997,78839008445
are,1998,75674336283
are,1999,84445473111
are,2000,104337372362
are,2001,103311640572
are,2002,109816201498
are,2003,124346358067
are,2004,147824370320
are,2005,180617467965
are,2006,222116541865
are,2007,257916133424
are,2008,315474615739
are,2009,253547358747
are,2010,289787338325
are,2011,350666031314
are,2012,374590605854
are,2013,390107556161
are,2014,403137100068
are,2015,358135057862
are,2016,357045064670
are,2017,385605506848
are,2018,422215043594
are,2019,417215559513
are,2020,358868765175
arg,1962,24450604878
arg,1963,18272123664
arg,1964,25605249382
arg,1965,28344705967
arg,1966,28630474728
arg,1967,24256667553
arg,1968,26436857247
arg,1969,31256284544
arg,1970,31584210366
arg,1971,33293199095
arg,1972,34733000536
arg,1973,52544000117
arg,1974,72436777342
arg,1975,52438647922
arg,1976,51169499891
arg,1977,56781000101
arg,1978,58082870156
arg,1979,69252328953
arg,1980,76961923742
arg,1981,78676842366
arg,1982,84307486837
arg,1983,103979106778
arg,1984,79092001998
arg,1985,88416668900
arg,1986,110934442763
arg,1987,111106191358
arg,1988,126206817196
arg,1989,76636898036
arg,1990,141352368715
arg,1991,189719984268
arg,1992,228788617202
arg,1993,236741715015
arg,1994,257440000000
arg,1995,258031750000
arg,1996,272149750000
arg,1997,292859000000
arg,1998,298948250000
arg,1999,283523000000
arg,2000,284203750000
arg,2001,268696750000
arg,2002,97724004252
arg,2003,127586973492
arg,2004,164657930453
arg,2005,198737095012
arg,2006,232557260817
arg,2007,287530508431
arg,2008,361558037110
arg,2009,332976484578
arg,2010,423627422092
arg,2011,530163281575
arg,2012,545982375701
arg,2013,552025140252
arg,2014,526319673732
arg,2015,594749285413
arg,2016,557531376218
arg,2017,643628665302
arg,2018,524819742919
arg,2019,451932356086
arg,2020,389288056265
arm,1990,2256838858
arm,1991,2069870130
arm,1992,1272835453
arm,1993,1201312829
arm,1994,1315158637
arm,1995,1468317435
arm,1996,1596968946
arm,1997,1639492445
arm,1998,1893726437
arm,1999,1845482173
arm,2000,1911563669
arm,2001,2118467913
arm,2002,2376335048
arm,2003,2807061009
arm,2004,3576615240
arm,2005,4900469950
arm,2006,6384451606
arm,2007,9206301700
arm,2008,11662040714
arm,2009,8647936748
arm,2010,9260284938
arm,2011,10142111334
arm,2012,10619320049
arm,2013,11121465767
arm,2014,11609512940
arm,2015,10553337673
arm,2016,10546135160
arm,2017,11527458566
arm,2018,12457941907
arm,2019,13619291361
arm,2020,12641209802
atg,1977,77496754
atg,1978,87879341
atg,1979,109079979
atg,1980,131431027
atg,1981,147841734
atg,1982,164369279
atg,1983,182144093
atg,1984,208372846
atg,1985,240923925
atg,1986,290440141
atg,1987,337174862
atg,1988,398637728
atg,1989,438794789
atg,1990,459470370
atg,1991,481707407
atg,1992,499281481
atg,1993,535174074
atg,1994,589429630
atg,1995,577281481
atg,1996,633729630
atg,1997,680618519
atg,1998,727859259
atg,1999,766200000
atg,2000,826370370
atg,2001,800481481
atg,2002,814381481
atg,2003,856396296
atg,2004,919729630
atg,2005,1022962963
atg,2006,1157662963
atg,2007,1312759259
atg,2008,1370070370
atg,2009,1228329630
atg,2010,1148700000
atg,2011,1137637037
atg,2012,1199948148
atg,2013,1181448148
atg,2014,1249733333
atg,2015,1336692593
atg,2016,1436585185
atg,2017,1467977778
atg,2018,1605944444
atg,2019,1687533333
atg,2020,1370281481
aus,1960,18606786874
aus,1961,19683055213
aus,1962,19922723709
aus,1963,21539926084
aus,1964,23801097547
aus,1965,25977153097
aus,1966,27309889125
aus,1967,30444618658
aus,1968,32716989584
aus,1969,36686079068
aus,1970,41337215814
aus,1971,45222309329
aus,1972,52051401869
aus,1973,63844971172
aus,1974,88981577008
aus,1975,97333060221
aus,1976,105101474852
aus,1977,110387703602
aus,1978,118535980149
aus,1979,134941497217
aus,1980,150032311978
aus,1981,176953442471
aus,1982,194104601125
aus,1983,177333645297
aus,1984,193593551893
aus,1985,180573751630
aus,1986,182368494684
aus,1987,189400476443
aus,1988,236065919674
aus,1989,299767934207
aus,1990,311326664102
aus,1991,325902990346
aus,1992,325480273783
aus,1993,312126194491
aus,1994,322807333103
aus,1995,367915800416
aus,1996,401089529590
aus,1997,435323994365
aus,1998,399404463135
aus,1999,389098884572
aus,2000,415576210513
aus,2001,379083932596
aus,2002,395342716618
aus,2003,467390797903
aus,2004,614166310997
aus,2005,695075176665
aus,2006,747556154537
aus,2007,853955405512
aus,2008,1055127126231
aus,2009,928042998086
aus,2010,1147589183476
aus,2011,1397907916790
aus,2012,1546508558466
aus,2013,1576335282651
aus,2014,1467504819609
aus,2015,1350534154256
aus,2016,1206685107002
aus,2017,1326882872011
aus,2018,1428529571351
aus,2019,1391952510370
aus,2020,1327836171069
aut,1960,6592693841
aut,1961,7311749633
aut,1962,7756110210
aut,1963,8374175258
aut,1964,9169983886
aut,1965,9994070616
aut,1966,10887682273
aut,1967,11579431669
aut,1968,12440625313
aut,1969,13582798556
aut,1970,15373005557
aut,1971,17858486067
aut,1972,22059612477
aut,1973,29515467707
aut,1974,35189299912
aut,1975,40059206763
aut,1976,42959976222
aut,1977,51545758888
aut,1978,62052259073
aut,1979,73937296963
aut,1980,82058912997
aut,1981,71034228443
aut,1982,71275287570
aut,1983,72121016547
aut,1984,67985344887
aut,1985,69386774408
aut,1986,99036164939
aut,1987,124168442534
aut,1988,133339397080
aut,1989,133105805512
aut,1990,166463386179
aut,1991,173794177961
aut,1992,195078126722
aut,1993,190379720809
aut,1994,203535242742
aut,1995,241038283063
aut,1996,237250948791
aut,1997,212790348405
aut,1998,218259904402
aut,1999,217185787343
aut,2000,196799778883
aut,2001,197337879195
aut,2002,213377771504
aut,2003,261695778781
aut,2004,300904221505
aut,2005,315974418605
aut,2006,335998557270
aut,2007,388691445387
aut,2008,430294287388
aut,2009,400172297861
aut,2010,391892746545
aut,2011,431120310089
aut,2012,409425234155
aut,2013,430068712972
aut,2014,441996131737
aut,2015,381817565894
aut,2016,395568644341
aut,2017,416230497429
aut,2018,454945881027
aut,2019,445011872704
aut,2020,433258467677
aze,1992,446305556
aze,1993,1570000000
aze,1994,1193312102
aze,1995,2417355840
aze,1996,3176333837
aze,1997,3962238113
aze,1998,4446368571
aze,1999,4581432039
aze,2000,5272798391
aze,2001,5707720391
aze,2002,6235856820
aze,2003,7276753895
aze,2004,8680370408
aze,2005,13245716099
aze,2006,20982986344
aze,2007,33050343783
aze,2008,48852482960
aze,2009,44291490421
aze,2010,52909294792
aze,2011,65951627200
aze,2012,69683935845
aze,2013,74164435946
aze,2014,75244294275
aze,2015,53074370486
aze,2016,37867518957
aze,2017,40865558912
aze,2018,47112941176
aze,2019,48174235294
aze,2020,42607176471
bdi,1960,195999990
bdi,1961,202999992
bdi,1962,213500006
bdi,1963,232749998
bdi,1964,260750008
bdi,1965,158994963
bdi,1966,165444571
bdi,1967,178297143
bdi,1968,183200000
bdi,1969,190205714
bdi,1970,242732571
bdi,1971,252842286
bdi,1972,246804571
bdi,1973,304339840
bdi,1974,345263492
bdi,1975,420986667
bdi,1976,448412754
bdi,1977,547535556
bdi,1978,610225556
bdi,1979,782496667
bdi,1980,919726667
bdi,1981,969046667
bdi,1982,1013222222
bdi,1983,1082926304
bdi,1984,987143931
bdi,1985,1149979286
bdi,1986,1201725497
bdi,1987,1131466494
bdi,1988,1082403219
bdi,1989,1113924130
bdi,1990,1132101253
bdi,1991,1167398478
bdi,1992,1083037671
bdi,1993,938632612
bdi,1994,925030590
bdi,1995,1000428394
bdi,1996,869033856
bdi,1997,972896268
bdi,1998,893770806
bdi,1999,808077223
bdi,2000,870486066
bdi,2001,876794723
bdi,2002,825394490
bdi,2003,784654424
bdi,2004,915257323
bdi,2005,1117113046
bdi,2006,1273375020
bdi,2007,1356199365
bdi,2008,1611835902
bdi,2009,1781455092
bdi,2010,2032135247
bdi,2011,2235820868
bdi,2012,2333308099
bdi,2013,2451625333
bdi,2014,2705783272
bdi,2015,3104394858
bdi,2016,2732808557
bdi,2017,2748180474
bdi,2018,2668495743
bdi,2019,2631434363
bdi,2020,2841786382
bel,1960,11658722591
bel,1961,12400145222
bel,1962,13264015675
bel,1963,14260017387
bel,1964,15960106681
bel,1965,17371457608
bel,1966,18651883472
bel,1967,19992040788
bel,1968,21376353113
bel,1969,23710735895
bel,1970,26706196047
bel,1971,29821661870
bel,1972,37209418019
bel,1973,47743801490
bel,1974,56033077879
bel,1975,65678189097
bel,1976,71113882968
bel,1977,82839905459
bel,1978,101246526194
bel,1979,116315456797
bel,1980,126829314388
bel,1981,104730018470
bel,1982,92095926188
bel,1983,87184239053
bel,1984,83349530159
bel,1985,86268264148
bel,1986,120018787249
bel,1987,149394404106
bel,1988,162299103675
bel,1989,164221056511
bel,1990,205331747948
bel,1991,210510999409
bel,1992,234781652447
bel,1993,224721795709
bel,1994,244884129491
bel,1995,288025588396
bel,1996,279201433225
bel,1997,252708051421
bel,1998,258528339631
bel,1999,258158533987
bel,2000,236204532891
bel,2001,236541297539
bel,2002,257157820440
bel,2003,317381715576
bel,2004,368537000248
bel,2005,385570948887
bel,2006,407918078033
bel,2007,470324254038
bel,2008,515223524242
bel,2009,481345929425
bel,2010,480951629493
bel,2011,522645519184
bel,2012,496181260258
bel,2013,521642714408
bel,2014,534678075827
bel,2015,462149679344
bel,2016,475739588765
bel,2017,501522868356
bel,2018,543008499294
bel,2019,535288715240
bel,2020,521861292587
ben,1960,226195579
ben,1961,235668222
ben,1962,236434907
ben,1963,253927646
ben,1964,269818988
ben,1965,289908721
ben,1966,302925281
ben,1967,306222000
ben,1968,326323097
ben,1969,330748211
ben,1970,333627758
ben,1971,335072975
ben,1972,410331901
ben,1973,504376036
ben,1974,554654787
ben,1975,676870140
ben,1976,698408244
ben,1977,750049739
ben,1978,928843305
ben,1979,1186231265
ben,1980,1405251547
ben,1981,1291119965
ben,1982,1267778489
ben,1983,1095348303
ben,1984,1051133927
ben,1985,1045712703
ben,1986,1336102041
ben,1987,1562412030
ben,1988,1620246187
ben,1989,1502294411
ben,1990,1959965244
ben,1991,1986437860
ben,1992,1695315306
ben,1993,2274557914
ben,1994,1598075932
ben,1995,2169627251
ben,1996,2361116588
ben,1997,2268301538
ben,1998,2455092582
ben,1999,3677394292
ben,2000,3519991326
ben,2001,3666222600
ben,2002,4194342849
ben,2003,5349258334
ben,2004,6190270756
ben,2005,6567654494
ben,2006,7034111651
ben,2007,8169048690
ben,2008,9787735426
ben,2009,9738626993
ben,2010,9535344283
ben,2011,10693321954
ben,2012,11141358945
ben,2013,12517845732
ben,2014,13284528654
ben,2015,11388160958
ben,2016,11821066153
ben,2017,12701654743
ben,2018,14262407012
ben,2019,14391686633
ben,2020,15651545332
bfa,1960,330442817
bfa,1961,350247237
bfa,1962,379567023
bfa,1963,394040588
bfa,1964,410321618
bfa,1965,422916848
bfa,1966,433889832
bfa,1967,450753993
bfa,1968,460442678
bfa,1969,478298598
bfa,1970,458404330
bfa,1971,482411104
bfa,1972,578595584
bfa,1973,674773518
bfa,1974,751133331
bfa,1975,939972703
bfa,1976,976547164
bfa,1977,1131224818
bfa,1978,1475583383
bfa,1979,1748480982
bfa,1980,1928719477
bfa,1981,1775842026
bfa,1982,1754449845
bfa,1983,1600278756
bfa,1984,1459880019
bfa,1985,1552493068
bfa,1986,2036303381
bfa,1987,2369834650
bfa,1988,2616040646
bfa,1989,2615587726
bfa,1990,3101300642
bfa,1991,3135045684
bfa,1992,3356692518
bfa,1993,3199536228
bfa,1994,1895290623
bfa,1995,2379518099
bfa,1996,2586550747
bfa,1997,2447668985
bfa,1998,2804902248
bfa,1999,3389566983
bfa,2000,2968369991
bfa,2001,3190371050
bfa,2002,3622350204
bfa,2003,4740768355
bfa,2004,5451688868
bfa,2005,6146352742
bfa,2006,6547420134
bfa,2007,7625723124
bfa,2008,9451436359
bfa,2009,9450697336
bfa,2010,10109618964
bfa,2011,12080296644
bfa,2012,12561016091
bfa,2013,13444301139
bfa,2014,13943016924
bfa,2015,11832159276
bfa,2016,12833363370
bfa,2017,14106956830
bfa,2018,15890065020
bfa,2019,16178162030
bfa,2020,17933606353
bgd,1960,4274893913
bgd,1961,4817580184
bgd,1962,5081413340
bgd,1963,5319458351
bgd,1964,5386054619
bgd,1965,5906636557
bgd,1966,6439687598
bgd,1967,7253575399
bgd,1968,7483685474
bgd,1969,8471006101
bgd,1970,8992721809
bgd,1971,8751842840
bgd,1972,6288245867
bgd,1973,8086725729
bgd,1974,12512460520
bgd,1975,19448348073
bgd,1976,10117113333
bgd,1977,9651149302
bgd,1978,13281767143
bgd,1979,15565480322
bgd,1980,18138049096
bgd,1981,20249694002
bgd,1982,18525399202
bgd,1983,17609048822
bgd,1984,18920840000
bgd,1985,22278423077
bgd,1986,21774033333
bgd,1987,24298032258
bgd,1988,26579005760
bgd,1989,28781714764
bgd,1990,31598341234
bgd,1991,30957483950
bgd,1992,31708874594
bgd,1993,33166519418
bgd,1994,33768660883
bgd,1995,37939748769
bgd,1996,46438484108
bgd,1997,48244309133
bgd,1998,49984559471
bgd,1999,51270569884
bgd,2000,53369787319
bgd,2001,53991289844
bgd,2002,54724081491
bgd,2003,60158929188
bgd,2004,65108544250
bgd,2005,69442943089
bgd,2006,71819083684
bgd,2007,79611888213
bgd,2008,91631278239
bgd,2009,102477791472
bgd,2010,115279077465
bgd,2011,128637938711
bgd,2012,133355749482
bgd,2013,149990451022
bgd,2014,172885454931
bgd,2015,195078678697
bgd,2016,221415188000
bgd,2017,249710922462
bgd,2018,274038973437
bgd,2019,302571320446
bgd,2020,323056957972
bgr,1980,19839230769
bgr,1981,19870000000
bgr,1982,19342000000
bgr,1983,16563666667
bgr,1984,17594944444
bgr,1985,17155421053
bgr,1986,20249294118
bgr,1987,28101000000
bgr,1988,22555941176
bgr,1989,21988444444
bgr,1990,20632090909
bgr,1991,10943548387
bgr,1992,10350515464
bgr,1993,10829710145
bgr,1994,9697416974
bgr,1995,18983303571
bgr,1996,12294221473
bgr,1997,11315986087
bgr,1998,15030695297
bgr,1999,13627323285
bgr,2000,13245833844
bgr,2001,14183497963
bgr,2002,16402846413
bgr,2003,21144983552
bgr,2004,26157894737
bgr,2005,29869283400
bgr,2006,34379808889
bgr,2007,44405101470
bgr,2008,54438966420
bgr,2009,52023504656
bgr,2010,50682061053
bgr,2011,57678241024
bgr,2012,54300857424
bgr,2013,55810138436
bgr,2014,57082011260
bgr,2015,50781996713
bgr,2016,53953897624
bgr,2017,59199447421
bgr,2018,66363422450
bgr,2019,68915416142
bgr,2020,69889347433
bhr,1980,3072698328
bhr,1981,3467819149
bhr,1982,3645744681
bhr,1983,3735106383
bhr,1984,3905585106
bhr,1985,3651861702
bhr,1986,3052393617
bhr,1987,3392021011
bhr,1988,3702393617
bhr,1989,3863563830
bhr,1990,4229787234
bhr,1991,4616223404
bhr,1992,4751063830
bhr,1993,5200265957
bhr,1994,5567553457
bhr,1995,5849467819
bhr,1996,6101861436
bhr,1997,6349202394
bhr,1998,6183776596
bhr,1999,6621010372
bhr,2000,9062898936
bhr,2001,8976196809
bhr,2002,9593510638
bhr,2003,11074813830
bhr,2004,13150159574
bhr,2005,15968723404
bhr,2006,18504760638
bhr,2007,21730000000
bhr,2008,25710904255
bhr,2009,22938218085
bhr,2010,25713271277
bhr,2011,28776595745
bhr,2012,30749308511
bhr,2013,32539468085
bhr,2014,33387712766
bhr,2015,31050638298
bhr,2016,32234973404
bhr,2017,35473776596
bhr,2018,37801462766
bhr,2019,38652579787
bhr,2020,34729228723
bhs,1960,169803922
bhs,1961,190098039
bhs,1962,212254902
bhs,1963,237745098
bhs,1964,266666667
bhs,1965,300392157
bhs,1966,340000000
bhs,1967,390196078
bhs,1968,444901961
bhs,1969,528137255
bhs,1970,538423154
bhs,1971,573400000
bhs,1972,590900000
bhs,1973,670900000
bhs,1974,632400000
bhs,1975,596200000
bhs,1976,642100000
bhs,1977,713000000
bhs,1978,832400000
bhs,1979,1139800100
bhs,1980,1335300000
bhs,1981,1426500000
bhs,1982,1578300000
bhs,1983,1732800000
bhs,1984,2041100000
bhs,1985,2320699900
bhs,1986,2472500000
bhs,1987,2713999900
bhs,1988,2817900000
bhs,1989,3062000000
bhs,1990,3166000000
bhs,1991,3111160000
bhs,1992,3109000000
bhs,1993,3092000000
bhs,1994,3259000000
bhs,1995,3429000000
bhs,1996,3609000000
bhs,1997,6332360000
bhs,1998,6833220000
bhs,1999,7683870000
bhs,2000,8076470000
bhs,2001,8317830000
bhs,2002,8881160000
bhs,2003,8870090000
bhs,2004,9055290000
bhs,2005,9836200000
bhs,2006,10167250000
bhs,2007,10618340000
bhs,2008,10526000000
bhs,2009,9981960000
bhs,2010,10095760000
bhs,2011,10070450000
bhs,2012,10720500000
bhs,2013,10494600000
bhs,2014,11142900000
bhs,2015,11890600000
bhs,2016,11992600000
bhs,2017,12359700000
bhs,2018,12837800000
bhs,2019,13164400000
bhs,2020,9907500000
bih,1994,1255802469
bih,1995,1866572954
bih,1996,2786045322
bih,1997,3671816504
bih,1998,4116699437
bih,1999,4685733115
bih,2000,5567405599
bih,2001,5800774717
bih,2002,6728771314
bih,2003,8498560902
bih,2004,10157553968
bih,2005,11222953335
bih,2006,12864610863
bih,2007,15778767411
bih,2008,19112739398
bih,2009,17613836527
bih,2010,17176781046
bih,2011,18644723854
bih,2012,17221192466
bih,2013,18172335776
bih,2014,18560861389
bih,2015,16219819017
bih,2016,16914287349
bih,2017,18079075771
bih,2018,20177409351
bih,2019,20201323260
bih,2020,19946496563
blr,1990,21650000000
blr,1994,17793000000
blr,1995,13489222222
blr,1996,14756846154
blr,1997,14108846154
blr,1998,15264369565
blr,1999,12152867470
blr,2000,12738912134
blr,2001,12354820144
blr,2002,14594249023
blr,2003,17827791321
blr,2004,23144351852
blr,2005,30207567317
blr,2006,36954312354
blr,2007,45277399814
blr,2008,60763483146
blr,2009,50874078052
blr,2010,57222490769
blr,2011,61757788945
blr,2012,65685102555
blr,2013,75527984234
blr,2014,78813839984
blr,2015,56454734397
blr,2016,47722657821
blr,2017,54726595249
blr,2018,60031262269
blr,2019,64409647194
blr,2020,60258239056
blz,1960,28071889
blz,1961,29964371
blz,1962,31856923
blz,1963,33749405
blz,1964,36193826
blz,1965,40069930
blz,1966,44405594
blz,1967,47379310
blz,1968,44910180
blz,1969,47305389
blz,1970,53233533
blz,1971,59207317
blz,1972,66062500
blz,1973,78343558
blz,1974,103216374
blz,1975,118066298
blz,1976,96905830
blz,1977,117650000
blz,1978,136300000
blz,1979,151800000
blz,1980,197938222
blz,1981,196089855
blz,1982,182206327
blz,1983,192103186
blz,1984,214381949
blz,1985,212643743
blz,1986,231638321
blz,1987,281082559
blz,1988,320093360
blz,1989,369133891
blz,1990,412086445
blz,1991,444720750
blz,1992,518559700
blz,1993,560205300
blz,1994,581269550
blz,1995,620422500
blz,1996,641660000
blz,1997,654582900
blz,1998,689140000
blz,1999,732732350
blz,2000,832072450
blz,2001,868358750
blz,2002,925197950
blz,2003,983575600
blz,2004,1051386600
blz,2005,1102564900
blz,2006,1210603750
blz,2007,1271598050
blz,2008,1351338650
blz,2009,1317309450
blz,2010,1377177100
blz,2011,1460797903
blz,2012,1522897506
blz,2013,1579411253
blz,2014,1667335061
blz,2015,1721700991
blz,2016,1789304088
blz,2017,1858529677
blz,2018,1915899787
blz,2019,1982518541
blz,2020,1636280797
bol,1960,373879364
bol,1961,406684586
bol,1962,444665186
bol,1963,478805990
bol,1964,539491477
bol,1965,604377104
bol,1966,669191919
bol,1967,755808081
bol,1968,857912458
bol,1969,929629630
bol,1970,1017003367
bol,1971,1095622896
bol,1972,1257615645
bol,1973,1262968516
bol,1974,2100249875
bol,1975,2404697651
bol,1976,2731984008
bol,1977,3227436282
bol,1978,3758220890
bol,1979,4421343606
bol,1980,4526916803
bol,1981,5872756933
bol,1982,5587490265
bol,1983,5422440962
bol,1984,6169501038
bol,1985,5377277407
bol,1986,3958338883
bol,1987,4323623622
bol,1988,4597615563
bol,1989,4715978868
bol,1990,4867582620
bol,1991,5343274312
bol,1992,5643893347
bol,1993,5734676561
bol,1994,5981244887
bol,1995,6715220507
bol,1996,7396966657
bol,1997,7925673448
bol,1998,8497545598
bol,1999,8285075872
bol,2000,8397912509
bol,2001,8141537938
bol,2002,7905485216
bol,2003,8082364868
bol,2004,8773451739
bol,2005,9549077869
bol,2006,11451869165
bol,2007,13120183157
bol,2008,16674324634
bol,2009,17339992165
bol,2010,19649631314
bol,2011,23963033431
bol,2012,27084497483
bol,2013,30659338880
bol,2014,32996188013
bol,2015,33000198248
bol,2016,33941126200
bol,2017,37508642165
bol,2018,40287647930
bol,2019,40895322844
bol,2020,36572764863
bra,1961,17275940449
bra,1962,19231747852
bra,1963,23287712878
bra,1964,20963733695
bra,1965,22465522884
bra,1966,28283323733
bra,1967,31086389195
bra,1968,33930457425
bra,1969,37171640819
bra,1970,42327664794
bra,1971,48869830902
bra,1972,58434858375
bra,1973,83592275863
bra,1974,109794519728
bra,1975,129203555239
bra,1976,153168949208
bra,1977,176344101402
bra,1978,200278646124
bra,1979,221338204480
bra,1980,237393489893
bra,1981,258015174749
bra,1982,271314113768
bra,1983,189656506321
bra,1984,188339974087
bra,1985,210879841322
bra,1986,256480855344
bra,1987,283056833878
bra,1988,308333568571
bra,1989,347028139590
bra,1990,390725626003
bra,1991,342609227210
bra,1992,328187944301
bra,1993,368295777770
bra,1994,525369851354
bra,1995,769333330369
bra,1996,850426433004
bra,1997,883206452795
bra,1998,863711007325
bra,1999,599642075004
bra,2000,655448188259
bra,2001,559983704094
bra,2002,509795270685
bra,2003,558233724165
bra,2004,669289321945
bra,2005,891633826603
bra,2006,1107626711407
bra,2007,1397114247331
bra,2008,1695855391811
bra,2009,1666996294373
bra,2010,2208838108577
bra,2011,2616156606667
bra,2012,2465228293894
bra,2013,2472819362217
bra,2014,2456043766029
bra,2015,1802211999539
bra,2016,1795693265810
bra,2017,2063514688762
bra,2018,1916933708382
bra,2019,1877824273721
bra,2020,1444733258972
brb,1974,311809337
brb,1975,402178605
brb,1976,435911269
brb,1977,495097668
brb,1978,552883707
brb,1979,670362452
brb,1980,1012280615
brb,1981,1114204743
brb,1982,1163923830
brb,1983,1236016507
brb,1984,1346890071
brb,1985,1409536121
brb,1986,1547755183
brb,1987,1704370308
brb,1988,1812757918
brb,1989,2006165167
brb,1990,2012131457
brb,1991,2020583702
brb,1992,1957000000
brb,1993,2063342117
brb,1994,2151344901
brb,1995,2216974096
brb,1996,2363645403
brb,1997,2498384130
brb,1998,2817083478
brb,1999,2951822205
brb,2000,3059500000
brb,2001,3054500000
brb,2002,3106500000
brb,2003,3209500000
brb,2004,3444500000
brb,2005,3819500000
brb,2006,4217500000
brb,2007,4674000000
brb,2008,4785000000
brb,2009,4465500000
brb,2010,4530000000
brb,2011,4657500000
brb,2012,4610000000
brb,2013,4677000000
brb,2014,4696500000
brb,2015,4715000000
brb,2016,4830000000
brb,2017,4978000000
brb,2018,5086500000
brb,2019,5209000000
brb,2020,4418000000
brn,1965,114040246
brn,1966,132758395
brn,1967,139030446
brn,1968,160819287
brn,1969,161211290
brn,1970,179080099
brn,1971,197523179
brn,1972,270818556
brn,1973,433092004
brn,1974,1073577086
brn,1975,1168304306
brn,1976,1423061357
brn,1977,1732721161
brn,1978,1941600704
brn,1979,2803780006
brn,1980,4928824958
brn,1981,4366213850
brn,1982,4264252336
brn,1983,3844723142
brn,1984,3782523088
brn,1985,3523612563
brn,1986,2358592817
brn,1987,2754463438
brn,1988,2690717551
brn,1989,2985467979
brn,1990,3520551724
brn,1991,3701667053
brn,1992,4183548189
brn,1993,4105706152
brn,1994,4087337960
brn,1995,4734020037
brn,1996,5115602837
brn,1997,5197332974
brn,1998,4051147228
brn,1999,4600000000
brn,2000,6001153306
brn,2001,5601090584
